TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,F,W,INC/NA,AVG GPA
Spring 2024,CSCI,211,Object-Oriented Program in C++,121C,"WANG, Y",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121D,"WOLF-SONKIN, M",20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121E,"ABRAHAM, K",25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121F,"ABRAHAM, K",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121J,"ZHOU, L",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121K,"BOURNIAS, T",24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,121L,"SU, X",30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,
Spring 2024,CSCI,211,Object-Oriented Program in C++,231,"ALAYEV, Y",20,0,0,0,2,0,1,1,2,3,2,2,7,0,1.746,
Spring 2024,CSCI,211,Object-Oriented Program in C++,231,"GREENBERG, A",20,0,0,0,2,0,1,1,2,3,2,2,7,0,1.746,
Spring 2024,CSCI,211,Object-Oriented Program in C++,231B,"GREENBERG, A",20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111,"CAMPBELL, A",164,0,8,8,7,18,10,11,19,7,19,8,48,0,2.26,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111,"GOMES, R",164,0,8,8,7,18,10,11,19,7,19,8,48,0,2.26,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111,"LORD, K",164,0,8,8,7,18,10,11,19,7,19,8,48,0,2.26,
Spring 2024,CSCI,212,Object-Oriented Prog in Java,111,"LOWY, Z",164,0,8,8,7,18,10,11,19,7,19,8,48,0,2.26,
